utc_time,perth_time,lot,zone,utilization
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PM2,BEN-PM2-LZ-Blue,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PM3,BEN-PM3-LZ-Green,7.59
2026-07-08T17:02:11Z,2026-07-09 01:02:11,TCP1, ,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,TCP2, ,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PA1,BEN-PA1-LZ-Green,27.41
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PA2,BEN-PA2-LZ-Green,1.83
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PA3,BEN-PA3-LZ-Green,0.62
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PA4,BEN-PA4-LT-0001,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PA5,BEN-PA5-LZ-Green,9.38
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PB1,BEN-PB1-LZ-Green,16.91
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PB3,BEN-PB3-LZ-90Minute,24.71
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PC2,BEN-PC2-LZ-Green,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PC3,BEN-PC3-LZ-Green,3.39
2026-07-08T17:02:11Z,2026-07-09 01:02:11,STAFF ONLY - PC3,BEN-PC3-LZ-White,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PC4,BEN-PC4-LZ-Equipark,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PD1,BEN-PD1-LZ-Yellow,0.99
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PD4,BEN-PD4-LZ-Blue,2.78
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PE1,BEN-PE1-LZ-Yellow,8.01
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PE2,BEN-PE2-LZ-Blue,18.12
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PF1,BEN-PF1-LZ-Yellow,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PH1,BEN-PH1-LZ-Yellow,1.44
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PH2,BEN-PH2-LZ-Green,34
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PH3,BEN-PH3-LZ-Equipark,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PH4,BEN-PH4-LZ-Green,1.29
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PI1,BEN-PI1-LZ-Yellow,1.96
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PI2,BEN-PI2-LZ-Yellow,4.81
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PI3,BEN-PI3-LZ-Yellow,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,STAFF ONLY - PJ1,BEN-PJ1-LZ-White,1.05
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PJ1,BEN-PJ1-LZ-Yellow,25
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PJ2,BEN-PJ2-LZ-Green,0
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PL1,BEN-PL1-LZ-Green,13.42
2026-07-08T17:02:11Z,2026-07-09 01:02:11,PL2,BEN-PL2-LZ-Green,6.45
2026-07-08T17:02:11Z,2026-07-09 01:02:11,STAFF ONLY - PL2,BEN-PL2-LZ-White,0
